County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US
"Jackson County, Kansas",20085,Urban,21.0,1865,"1568 of 3143"
"Henry County, Alabama",01067,Urban,21.0,2633,"1569 of 3143"
"Franklin County, Florida",12037,Rural,21.0,2033,"1570 of 3143"
"Real County, Texas",48385,Rural,20.9,412,"1571 of 3143"
"Stevens County, Washington",53065,Urban,20.9,7088,"1572 of 3143"
"Johnston County, Oklahoma",40069,Rural,20.9,1436,"1573 of 3143"
"Ness County, Kansas",20135,Rural,20.9,387,"1574 of 3143"
"Greenbrier County, West Virginia",54025,Rural,20.9,5099,"1575 of 3143"
"Cedar County, Iowa",19031,Rural,20.9,2763,"1576 of 3143"
"Lamar County, Texas",48277,Rural,20.9,7143,"1577 of 3143"
"Pottawatomie County, Oklahoma",40125,Rural,20.9,10076,"1578 of 3143"
"Crook County, Oregon",41013,Urban,20.9,3890,"1579 of 3143"
"Marshall County, Tennessee",47117,Rural,20.9,4911,"1580 of 3143"
"Elmore County, Idaho",16039,Rural,20.9,3796,"1581 of 3143"
"Cass County, Iowa",19029,Rural,20.9,1956,"1582 of 3143"
"Matagorda County, Texas",48321,Rural,20.9,4960,"1583 of 3143"
"Boyd County, Kentucky",21019,Urban,20.8,7149,"1584 of 3143"
"Montgomery County, Indiana",18107,Rural,20.8,5398,"1585 of 3143"
"Klamath County, Oregon",41035,Rural,20.8,10164,"1586 of 3143"
"Ellsworth County, Kansas",20053,Rural,20.8,993,"1587 of 3143"
"Piscataquis County, Maine",23021,Rural,20.8,2724,"1588 of 3143"
"Allegany County, Maryland",24001,Rural,20.8,9979,"1589 of 3143"
"Wayne County, Pennsylvania",42127,Rural,20.8,8193,"1590 of 3143"
"Hardin County, Iowa",19083,Rural,20.8,2566,"1591 of 3143"
"Humboldt County, Nevada",32013,Rural,20.8,2360,"1592 of 3143"
"Blaine County, Nebraska",31009,Rural,20.8,67,"1593 of 3143"
"Marshall County, Kansas",20117,Rural,20.8,1439,"1594 of 3143"
"Wise County, Texas",48497,Urban,20.8,9829,"1595 of 3143"
"Deuel County, Nebraska",31049,Rural,20.8,296,"1596 of 3143"
"Ashe County, North Carolina",37009,Rural,20.8,4270,"1597 of 3143"
"Bear Lake County, Idaho",16007,Rural,20.8,882,"1598 of 3143"
"Lac qui Parle County, Minnesota",27073,Rural,20.8,1017,"1599 of 3143"
"Norton County, Kansas",20137,Rural,20.8,830,"1600 of 3143"
"Alleghany County, North Carolina",37005,Rural,20.7,1765,"1601 of 3143"
"Carroll County, Missouri",29033,Rural,20.7,1238,"1602 of 3143"
"Jones County, Mississippi",28067,Rural,20.7,9156,"1603 of 3143"
"Moultrie County, Illinois",17139,Rural,20.7,2024,"1604 of 3143"
"Barron County, Wisconsin",55005,Rural,20.7,6892,"1605 of 3143"
"Camp County, Texas",48063,Rural,20.7,1698,"1606 of 3143"
"Alfalfa County, Oklahoma",40003,Rural,20.7,881,"1607 of 3143"
"Webster County, Iowa",19187,Rural,20.7,5197,"1608 of 3143"
"Auglaize County, Ohio",39011,Rural,20.7,6528,"1609 of 3143"
"Alger County, Michigan",26003,Rural,20.7,1359,"1610 of 3143"
"Henderson County, Illinois",17071,Rural,20.7,988,"1611 of 3143"
"Wheatland County, Montana",30107,Rural,20.7,315,"1612 of 3143"
"Muskegon County, Michigan",26121,Urban,20.7,25141,"1613 of 3143"
"Shenandoah County, Virginia",51171,Rural,20.7,6541,"1614 of 3143"
"Franklin County, Indiana",18047,Urban,20.7,3271,"1615 of 3143"
"Ashland County, Wisconsin",55003,Rural,20.7,2302,"1616 of 3143"
"Shelby County, Ohio",39149,Rural,20.7,6608,"1617 of 3143"
"Coleman County, Texas",48083,Rural,20.7,1154,"1618 of 3143"
"Benson County, North Dakota",38005,Rural,20.6,695,"1619 of 3143"
"Harrison County, Indiana",18061,Urban,20.6,5790,"1620 of 3143"
"Sutter County, California",06101,Urban,20.6,13402,"1621 of 3143"
"Stone County, Missouri",29209,Rural,20.6,5020,"1622 of 3143"
"Clayton County, Georgia",13063,Urban,20.6,38243,"1623 of 3143"
"Clinton County, Ohio",39027,Rural,20.6,5828,"1624 of 3143"
"Washington County, Mississippi",28151,Rural,20.6,6052,"1625 of 3143"
"Harrison County, Iowa",19085,Urban,20.6,2094,"1626 of 3143"
"Mora County, New Mexico",35033,Rural,20.6,699,"1627 of 3143"
"Douglas County, South Dakota",46043,Rural,20.6,390,"1628 of 3143"
"Crawford County, Pennsylvania",42039,Rural,20.6,12132,"1629 of 3143"
"Webb County, Texas",48479,Urban,20.6,30984,"1630 of 3143"
"Rowan County, North Carolina",37159,Urban,20.6,20915,"1631 of 3143"
"Mercer County, West Virginia",54055,Rural,20.6,8651,"1632 of 3143"
"Fannin County, Texas",48147,Rural,20.6,5202,"1633 of 3143"
"Coos County, Oregon",41011,Rural,20.6,10067,"1634 of 3143"
"Amador County, California",06005,Rural,20.6,6560,"1635 of 3143"
"Macon County, Alabama",01087,Urban,20.6,2442,"1636 of 3143"
"Raleigh County, West Virginia",54081,Urban,20.6,10850,"1637 of 3143"
"Moffat County, Colorado",08081,Rural,20.5,1850,"1638 of 3143"
"Big Horn County, Wyoming",56003,Rural,20.5,1632,"1639 of 3143"
"Pipestone County, Minnesota",27117,Rural,20.5,1281,"1640 of 3143"
"Reno County, Kansas",20155,Rural,20.5,8746,"1641 of 3143"
"McPherson County, South Dakota",46089,Rural,20.5,341,"1642 of 3143"
"Rains County, Texas",48379,Rural,20.5,1884,"1643 of 3143"
"Cassia County, Idaho",16031,Rural,20.5,3044,"1644 of 3143"
"White County, Arkansas",05145,Rural,20.5,10351,"1645 of 3143"
"Trigg County, Kentucky",21221,Urban,20.5,2065,"1646 of 3143"
"Mercer County, Missouri",29129,Rural,20.5,494,"1647 of 3143"
"Washington County, Ohio",39167,Rural,20.5,8743,"1648 of 3143"
"Antelope County, Nebraska",31003,Rural,20.5,878,"1649 of 3143"
"Glacier County, Montana",30035,Rural,20.5,1724,"1650 of 3143"
"Davidson County, North Carolina",37057,Urban,20.5,24440,"1651 of 3143"
"Dillingham Census Area, Alaska",02070,Rural,20.5,594,"1652 of 3143"
"Wilson County, North Carolina",37195,Rural,20.5,11069,"1653 of 3143"
"Decatur County, Indiana",18031,Rural,20.5,3663,"1654 of 3143"
"Linn County, Oregon",41043,Urban,20.4,18371,"1655 of 3143"
"Adams County, North Dakota",38001,Rural,20.4,322,"1656 of 3143"
"Lauderdale County, Mississippi",28075,Rural,20.4,10101,"1657 of 3143"
"Motley County, Texas",48345,Rural,20.4,188,"1658 of 3143"
"Coos County, New Hampshire",33007,Rural,20.4,5003,"1659 of 3143"
"Knox County, Illinois",17095,Rural,20.4,7113,"1660 of 3143"
"DeKalb County, Tennessee",47041,Rural,20.4,2935,"1661 of 3143"
"Pawnee County, Nebraska",31133,Rural,20.4,366,"1662 of 3143"
"Roosevelt County, New Mexico",35041,Rural,20.4,2279,"1663 of 3143"
"Richardson County, Nebraska",31147,Rural,20.4,1157,"1664 of 3143"
"Madison County, Ohio",39097,Urban,20.4,6477,"1665 of 3143"
"Mercer County, Ohio",39107,Rural,20.4,5708,"1666 of 3143"
"Hyde County, South Dakota",46069,Rural,20.3,202,"1667 of 3143"
"Lee County, Iowa",19111,Rural,20.3,4853,"1668 of 3143"
"Big Stone County, Minnesota",27011,Rural,20.3,762,"1669 of 3143"
"Kankakee County, Illinois",17091,Urban,20.3,14617,"1670 of 3143"
"Crawford County, Arkansas",05033,Urban,20.3,8349,"1671 of 3143"
"Troup County, Georgia",13285,Rural,20.3,9395,"1672 of 3143"
"San Joaquin County, California",06077,Urban,20.3,100698,"1673 of 3143"
"Clinton County, Pennsylvania",42035,Rural,20.3,5075,"1674 of 3143"
"Martinsville City, Virginia",51690,Rural,20.3,1812,"1675 of 3143"
"Perry County, Missouri",29157,Rural,20.3,2657,"1676 of 3143"
"Adams County, Mississippi",28001,Rural,20.3,4119,"1677 of 3143"
"Morgan County, Indiana",18109,Urban,20.3,10156,"1678 of 3143"
"Stephenson County, Illinois",17177,Rural,20.3,6413,"1679 of 3143"
"Polk County, Missouri",29167,Urban,20.3,4242,"1680 of 3143"
"Kewaunee County, Wisconsin",55061,Urban,20.3,2971,"1681 of 3143"
"Bladen County, North Carolina",37017,Rural,20.3,4323,"1682 of 3143"
"Val Verde County, Texas",48465,Rural,20.2,5837,"1683 of 3143"
"Perkins County, South Dakota",46105,Rural,20.2,425,"1684 of 3143"
"Deer Lodge County, Montana",30023,Rural,20.2,1494,"1685 of 3143"
"Grant County, Kansas",20067,Rural,20.2,905,"1686 of 3143"
"Fremont County, Colorado",08043,Rural,20.2,7694,"1687 of 3143"
"Liberty County, Georgia",13179,Urban,20.2,7635,"1688 of 3143"
"Saline County, Illinois",17165,Rural,20.2,3481,"1689 of 3143"
"Gilmer County, West Virginia",54021,Rural,20.2,1069,"1690 of 3143"
"Throckmorton County, Texas",48447,Rural,20.2,215,"1691 of 3143"
"Cattaraugus County, New York",36009,Rural,20.2,10732,"1692 of 3143"
"Lincoln County, Nebraska",31111,Rural,20.2,4824,"1693 of 3143"
"Dickens County, Texas",48125,Rural,20.2,237,"1694 of 3143"
"Hancock County, Iowa",19081,Rural,20.2,1551,"1694 of 3143"
"Lampasas County, Texas",48281,Urban,20.2,3118,"1696 of 3143"
"Hoke County, North Carolina",37093,Urban,20.2,6860,"1697 of 3143"
"Logan County, Illinois",17107,Rural,20.2,3987,"1698 of 3143"
"Russell County, Kansas",20167,Rural,20.2,964,"1699 of 3143"
"Palo Alto County, Iowa",19147,Rural,20.2,1222,"1700 of 3143"
"Codington County, South Dakota",46029,Rural,20.2,3901,"1701 of 3143"
"Essex County, Vermont",50009,Rural,20.2,920,"1702 of 3143"
"Haskell County, Texas",48207,Rural,20.2,799,"1703 of 3143"
"Muskogee County, Oklahoma",40101,Rural,20.2,8935,"1704 of 3143"
"Payette County, Idaho",16075,Rural,20.2,3439,"1705 of 3143"
"Pike County, Georgia",13231,Urban,20.2,2631,"1706 of 3143"
"Jefferson County, Arkansas",05069,Rural,20.2,9210,"1707 of 3143"
"Schoolcraft County, Michigan",26153,Rural,20.1,1247,"1708 of 3143"
"Phillips County, Kansas",20147,Rural,20.1,704,"1709 of 3143"
"Montgomery County, Kansas",20125,Rural,20.1,4272,"1710 of 3143"
"Hidalgo County, Texas",48215,Urban,20.1,99890,"1711 of 3143"
"Sevier County, Tennessee",47155,Rural,20.1,14292,"1712 of 3143"
"Monroe County, Wisconsin",55081,Rural,20.1,6275,"1713 of 3143"
"Weakley County, Tennessee",47183,Rural,20.1,4247,"1714 of 3143"
"Stanton County, Nebraska",31167,Rural,20.1,800,"1715 of 3143"
"Wythe County, Virginia",51197,Rural,20.1,4175,"1716 of 3143"
"Bay County, Michigan",26017,Urban,20.1,15095,"1717 of 3143"
"Daviess County, Missouri",29061,Rural,20.1,1129,"1718 of 3143"
"Brown County, Kansas",20013,Rural,20.1,1292,"1719 of 3143"
"Bon Homme County, South Dakota",46009,Rural,20.1,1038,"1720 of 3143"
"Osage County, Oklahoma",40113,Urban,20.1,6555,"1721 of 3143"
"Phillips County, Montana",30071,Rural,20.0,607,"1722 of 3143"
"Franklin County, Washington",53021,Urban,20.0,11275,"1723 of 3143"
"Osage County, Kansas",20139,Urban,20.0,2185,"1724 of 3143"
"Elkhart County, Indiana",18039,Urban,20.0,26254,"1725 of 3143"
"Marshall County, Indiana",18099,Rural,20.0,6200,"1726 of 3143"
"Coahoma County, Mississippi",28027,Rural,20.0,2691,"1727 of 3143"
"Niobrara County, Wyoming",56027,Rural,20.0,377,"1728 of 3143"
"Meeker County, Minnesota",27093,Rural,20.0,3190,"1729 of 3143"
"Bradford County, Pennsylvania",42015,Rural,20.0,8520,"1730 of 3143"
"Trumbull County, Ohio",39155,Urban,20.0,28903,"1731 of 3143"
"Gage County, Nebraska",31067,Rural,20.0,3034,"1732 of 3143"
"Redwood County, Minnesota",27127,Rural,20.0,2074,"1733 of 3143"
"Hernando County, Florida",12053,Urban,20.0,29458,"1734 of 3143"
"Wayne County, North Carolina",37191,Urban,20.0,15646,"1735 of 3143"
"Wyandotte County, Kansas",20209,Urban,20.0,21368,"1736 of 3143"
"Sweetwater County, Wyoming",56037,Rural,20.0,5514,"1737 of 3143"
"Wheeler County, Oregon",41069,Rural,20.0,220,"1738 of 3143"
"Alcona County, Michigan",26001,Rural,20.0,1686,"1739 of 3143"
"Roseau County, Minnesota",27135,Rural,20.0,2098,"1740 of 3143"
"Clark County, Kentucky",21049,Urban,20.0,5167,"1741 of 3143"
"Richland County, Wisconsin",55103,Rural,19.9,2459,"1742 of 3143"
"Lonoke County, Arkansas",05085,Urban,19.9,9916,"1743 of 3143"
"Mercer County, North Dakota",38057,Rural,19.9,1178,"1744 of 3143"
"Garrard County, Kentucky",21079,Rural,19.9,2444,"1745 of 3143"
"Scott County, Kansas",20171,Rural,19.9,677,"1746 of 3143"
"Spencer County, Indiana",18147,Rural,19.9,2819,"1747 of 3143"
"Union County, Indiana",18161,Rural,19.9,1003,"1748 of 3143"
"Jefferson County, Texas",48245,Urban,19.9,33842,"1749 of 3143"
"Kossuth County, Iowa",19109,Rural,19.9,2078,"1750 of 3143"
"Keith County, Nebraska",31101,Rural,19.9,1220,"1751 of 3143"
"Fisher County, Texas",48151,Rural,19.9,519,"1752 of 3143"
"Sanborn County, South Dakota",46111,Rural,19.9,315,"1753 of 3143"
"St. Clair County, Michigan",26147,Urban,19.9,22800,"1754 of 3143"
"Lane County, Kansas",20101,Rural,19.9,216,"1755 of 3143"
"Brown County, Texas",48049,Rural,19.9,5277,"1756 of 3143"
"Susquehanna County, Pennsylvania",42115,Rural,19.9,5697,"1756 of 3143"
"Lafayette County, Wisconsin",55065,Rural,19.9,2260,"1758 of 3143"
"Edgefield County, South Carolina",45037,Urban,19.9,3798,"1759 of 3143"
"Douglas County, Illinois",17041,Rural,19.9,2634,"1760 of 3143"
"Fall River County, South Dakota",46047,Rural,19.9,1089,"1761 of 3143"
"Wexford County, Michigan",26165,Rural,19.9,4680,"1762 of 3143"
"Iron County, Michigan",26071,Rural,19.9,1773,"1763 of 3143"
"Bingham County, Idaho",16011,Rural,19.9,5832,"1764 of 3143"
"Wayne County, Mississippi",28153,Rural,19.8,2501,"1765 of 3143"
"Howard County, Indiana",18067,Urban,19.8,11442,"1766 of 3143"
"Presque Isle County, Michigan",26141,Rural,19.8,2042,"1767 of 3143"
"Roosevelt County, Montana",30085,Rural,19.8,1226,"1768 of 3143"
"Big Horn County, Montana",30003,Rural,19.8,1473,"1769 of 3143"
"Carroll County, Tennessee",47017,Rural,19.8,3848,"1770 of 3143"
"Thurston County, Nebraska",31173,Rural,19.8,725,"1771 of 3143"
"Lake County, Oregon",41037,Rural,19.8,1214,"1772 of 3143"
"Cherokee County, Kansas",20021,Urban,19.8,2655,"1773 of 3143"
"Chippewa County, Minnesota",27023,Rural,19.8,1704,"1774 of 3143"
"Washington County, Kentucky",21229,Rural,19.8,1661,"1775 of 3143"
"Southeast Fairbanks Census Area, Alaska",02240,Rural,19.8,897,"1776 of 3143"
"Ford County, Kansas",20057,Rural,19.8,4044,"1777 of 3143"
"Montgomery County, New York",36057,Rural,19.8,6785,"1778 of 3143"
"Rutherford County, North Carolina",37161,Rural,19.8,9245,"1778 of 3143"
"Ford County, Illinois",17053,Urban,19.8,1846,"1780 of 3143"
"Burke County, North Carolina",37023,Urban,19.8,12757,"1781 of 3143"
"Lewis County, Washington",53041,Rural,19.8,11604,"1782 of 3143"
"Somerset County, Maine",23025,Rural,19.7,7467,"1783 of 3143"
"Wakulla County, Florida",12129,Urban,19.7,4796,"1784 of 3143"
"Sierra County, New Mexico",35051,Rural,19.7,1810,"1785 of 3143"
"Montgomery County, North Carolina",37123,Rural,19.7,3612,"1786 of 3143"
"Jefferson County, Mississippi",28063,Rural,19.7,972,"1787 of 3143"
"Musselshell County, Montana",30065,Rural,19.7,728,"1788 of 3143"
"Logan County, Colorado",08075,Rural,19.7,2966,"1789 of 3143"
"Ida County, Iowa",19093,Rural,19.7,934,"1790 of 3143"
"Gove County, Kansas",20063,Rural,19.7,371,"1791 of 3143"
"Greene County, Iowa",19073,Rural,19.7,1225,"1792 of 3143"
"Isanti County, Minnesota",27059,Urban,19.7,5659,"1793 of 3143"
"Delta County, Michigan",26041,Rural,19.7,5355,"1794 of 3143"
"Andrews County, Texas",48003,Rural,19.7,2175,"1795 of 3143"
"Citrus County, Florida",12017,Urban,19.7,24367,"1796 of 3143"
"Trempealeau County, Wisconsin",55121,Rural,19.7,4087,"1797 of 3143"
"Tuscarawas County, Ohio",39157,Rural,19.7,12626,"1798 of 3143"
"Miller County, Georgia",13201,Rural,19.7,801,"1799 of 3143"
"Jasper County, Iowa",19099,Urban,19.7,5249,"1800 of 3143"
"Walker County, Georgia",13295,Urban,19.7,9404,"1801 of 3143"
"Gadsden County, Florida",12039,Urban,19.7,6012,"1802 of 3143"
"Pennington County, Minnesota",27113,Rural,19.7,1906,"1803 of 3143"
"Noble County, Oklahoma",40103,Rural,19.7,1472,"1804 of 3143"
"Tipton County, Tennessee",47167,Urban,19.6,8106,"1805 of 3143"
"Shelby County, Indiana",18145,Urban,19.6,6171,"1806 of 3143"
"Pickaway County, Ohio",39129,Urban,19.6,8037,"1807 of 3143"
"Linn County, Missouri",29115,Rural,19.6,1604,"1808 of 3143"
"Valley County, Montana",30105,Rural,19.6,1054,"1809 of 3143"
"Piute County, Utah",49031,Rural,19.6,242,"1810 of 3143"
"Allen County, Kansas",20001,Rural,19.6,1675,"1811 of 3143"
"Oceana County, Michigan",26127,Rural,19.6,3684,"1812 of 3143"
"Madison County, Georgia",13195,Urban,19.6,4075,"1813 of 3143"
"Perquimans County, North Carolina",37143,Rural,19.6,1925,"1814 of 3143"
"Carter County, Oklahoma",40019,Rural,19.6,6294,"1815 of 3143"
"Washita County, Oklahoma",40149,Rural,19.6,1461,"1816 of 3143"
"Montgomery County, Georgia",13209,Rural,19.6,1120,"1817 of 3143"
"Dodge County, Wisconsin",55027,Rural,19.6,12619,"1818 of 3143"
"Crawford County, Michigan",26039,Rural,19.6,1973,"1819 of 3143"
"Hillsdale County, Michigan",26059,Rural,19.6,6163,"1820 of 3143"
"Lavaca County, Texas",48285,Rural,19.6,2749,"1821 of 3143"
"Dewey County, Oklahoma",40043,Rural,19.5,560,"1822 of 3143"
"Wilson County, Kansas",20205,Rural,19.5,1170,"1823 of 3143"
"Rush County, Kansas",20165,Rural,19.5,415,"1824 of 3143"
"Jefferson County, Florida",12065,Urban,19.5,2115,"1825 of 3143"
"Calhoun County, Illinois",17013,Urban,19.5,639,"1826 of 3143"
"Loup County, Nebraska",31115,Rural,19.5,90,"1827 of 3143"
"Jefferson County, Ohio",39081,Urban,19.5,9021,"1828 of 3143"
"Coke County, Texas",48081,Rural,19.5,465,"1829 of 3143"
"Worth County, Iowa",19195,Rural,19.5,1041,"1830 of 3143"
"Castro County, Texas",48069,Rural,19.5,877,"1831 of 3143"
"McKean County, Pennsylvania",42083,Rural,19.5,5619,"1832 of 3143"
"Livingston County, Missouri",29117,Rural,19.5,1973,"1833 of 3143"
"Cameron County, Texas",48061,Urban,19.5,48712,"1834 of 3143"
"Beaufort County, North Carolina",37013,Rural,19.5,6365,"1835 of 3143"
"Waupaca County, Wisconsin",55135,Rural,19.5,7335,"1836 of 3143"
"Morrill County, Nebraska",31123,Rural,19.4,608,"1837 of 3143"
"Rosebud County, Montana",30087,Rural,19.4,998,"1838 of 3143"
"San Saba County, Texas",48411,Rural,19.4,800,"1839 of 3143"
"Madison County, Indiana",18095,Urban,19.4,17730,"1840 of 3143"
"Lyon County, Iowa",19119,Rural,19.4,1501,"1841 of 3143"
"Putnam County, Indiana",18133,Rural,19.4,4827,"1842 of 3143"
"Grimes County, Texas",48185,Rural,19.4,3919,"1843 of 3143"
"Prince of Wales-Hyder Census Area, Alaska",02198,Rural,19.4,805,"1844 of 3143"
"Yellow Medicine County, Minnesota",27173,Rural,19.4,1282,"1845 of 3143"
"Cleveland County, North Carolina",37045,Rural,19.4,13306,"1846 of 3143"
"Venango County, Pennsylvania",42121,Rural,19.4,7263,"1847 of 3143"
"McHenry County, North Dakota",38049,Urban,19.4,728,"1848 of 3143"
"Powell County, Montana",30077,Rural,19.4,1064,"1849 of 3143"
"Norton City, Virginia",51720,Rural,19.4,520,"1850 of 3143"
"Butler County, Iowa",19023,Rural,19.4,1967,"1851 of 3143"
"Gasconade County, Missouri",29073,Rural,19.3,2068,"1852 of 3143"
"Muskingum County, Ohio",39119,Rural,19.3,11438,"1853 of 3143"
"St. Clair County, Alabama",01115,Urban,19.3,12471,"1854 of 3143"
"Fulton County, New York",36035,Rural,19.3,7473,"1855 of 3143"
"Walker County, Texas",48471,Rural,19.3,9901,"1856 of 3143"
"Lincoln County, Tennessee",47103,Rural,19.3,4785,"1857 of 3143"
"Dickson County, Tennessee",47043,Urban,19.3,7324,"1858 of 3143"
"Whiteside County, Illinois",17195,Rural,19.3,7536,"1859 of 3143"
"Macoupin County, Illinois",17117,Urban,19.3,6188,"1860 of 3143"
"Swisher County, Texas",48437,Rural,19.3,874,"1861 of 3143"
"Grant County, Oregon",41023,Rural,19.3,1082,"1862 of 3143"
"Woodward County, Oklahoma",40153,Rural,19.3,2659,"1863 of 3143"
"Appomattox County, Virginia",51011,Urban,19.3,2215,"1864 of 3143"
"Jefferson County, Nebraska",31095,Rural,19.3,996,"1865 of 3143"
"Giles County, Virginia",51071,Urban,19.3,2336,"1866 of 3143"
"Cass County, Illinois",17017,Rural,19.2,1680,"1867 of 3143"
"Pendleton County, West Virginia",54071,Rural,19.2,895,"1868 of 3143"
"Leflore County, Mississippi",28083,Rural,19.2,3346,"1869 of 3143"
"Hamilton County, Kansas",20075,Rural,19.2,291,"1870 of 3143"
"Roberts County, Texas",48393,Rural,19.2,103,"1871 of 3143"
"Lewis County, New York",36049,Rural,19.2,3550,"1872 of 3143"
"Warren County, Indiana",18171,Urban,19.2,1161,"1873 of 3143"
"Howard County, Iowa",19089,Rural,19.2,1225,"1874 of 3143"
"Franklin County, Nebraska",31061,Rural,19.2,416,"1875 of 3143"
"Victoria County, Texas",48469,Urban,19.2,11469,"1876 of 3143"
"Saluda County, South Carolina",45081,Urban,19.2,2556,"1877 of 3143"
"Lincoln County, Mississippi",28085,Rural,19.2,4585,"1878 of 3143"
"Trinity County, California",06105,Rural,19.2,2408,"1879 of 3143"
"Shiawassee County, Michigan",26155,Rural,19.2,9302,"1880 of 3143"
"Fremont County, Iowa",19071,Rural,19.2,908,"1881 of 3143"
"Dale County, Alabama",01045,Rural,19.2,6455,"1882 of 3143"
"Warren County, Missouri",29219,Urban,19.2,4728,"1883 of 3143"
"Orangeburg County, South Carolina",45075,Rural,19.2,10876,"1884 of 3143"
"Dorchester County, Maryland",24019,Rural,19.2,4468,"1885 of 3143"
"Calhoun County, Alabama",01015,Urban,19.2,15118,"1886 of 3143"
"Gregory County, South Dakota",46053,Rural,19.1,531,"1887 of 3143"
"Conway County, Arkansas",05029,Rural,19.1,2773,"1888 of 3143"
"Allen County, Ohio",39003,Urban,19.1,13108,"1889 of 3143"
"Calhoun County, South Carolina",45017,Urban,19.1,2010,"1890 of 3143"
"Clearfield County, Pennsylvania",42033,Rural,19.1,11377,"1891 of 3143"
"Wells County, Indiana",18179,Urban,19.1,3631,"1892 of 3143"
"Brooks County, Texas",48047,Rural,19.1,939,"1893 of 3143"
"Lapeer County, Michigan",26087,Urban,19.1,12165,"1894 of 3143"
"Uinta County, Wyoming",56041,Rural,19.1,2536,"1895 of 3143"
"Christian County, Kentucky",21047,Urban,19.1,7893,"1896 of 3143"
"Hancock County, West Virginia",54029,Urban,19.1,4102,"1897 of 3143"
"Uvalde County, Texas",48463,Rural,19.1,2956,"1898 of 3143"
"Abbeville County, South Carolina",45001,Rural,19.1,3269,"1899 of 3143"
"San Juan County, Utah",49037,Rural,19.1,1698,"1900 of 3143"
"Henderson County, Texas",48213,Rural,19.1,11135,"1901 of 3143"
"Marshall County, West Virginia",54051,Urban,19.0,4324,"1902 of 3143"
"Grant County, Minnesota",27051,Rural,19.0,826,"1903 of 3143"
"Edwards County, Texas",48137,Rural,19.0,160,"1904 of 3143"
"Wayne County, Indiana",18177,Rural,19.0,8664,"1905 of 3143"
"Adair County, Iowa",19001,Rural,19.0,1005,"1906 of 3143"
"Henry County, Tennessee",47079,Rural,19.0,4445,"1907 of 3143"
"Johnson County, Nebraska",31097,Rural,19.0,728,"1908 of 3143"
"Jasper County, Indiana",18073,Urban,19.0,4329,"1909 of 3143"
"Plaquemines Parish, Louisiana",22075,Urban,19.0,2953,"1910 of 3143"
"Darlington County, South Carolina",45031,Urban,19.0,8231,"1911 of 3143"
"Ripley County, Indiana",18137,Rural,19.0,3750,"1912 of 3143"
"Lawrence County, Indiana",18093,Rural,19.0,6075,"1913 of 3143"
"Ellis County, Oklahoma",40045,Rural,19.0,507,"1914 of 3143"
"Nance County, Nebraska",31125,Rural,19.0,450,"1915 of 3143"
"Columbia County, Arkansas",05027,Rural,19.0,2694,"1916 of 3143"
"Dunn County, North Dakota",38025,Rural,19.0,554,"1917 of 3143"
"Baker County, Georgia",13007,Rural,19.0,390,"1918 of 3143"
"Stark County, Illinois",17175,Urban,19.0,730,"1919 of 3143"
"Bosque County, Texas",48035,Urban,19.0,2519,"1920 of 3143"
"Southampton County, Virginia",51175,Rural,19.0,2510,"1921 of 3143"
"DeKalb County, Indiana",18033,Rural,19.0,5564,"1922 of 3143"
"Davis County, Iowa",19051,Rural,19.0,1080,"1923 of 3143"
"Pittsburg County, Oklahoma",40121,Rural,19.0,5772,"1924 of 3143"
"Warren County, Pennsylvania",42123,Rural,19.0,5370,"1925 of 3143"
"Giles County, Tennessee",47055,Rural,18.9,4050,"1926 of 3143"
"Izard County, Arkansas",05065,Rural,18.9,1979,"1927 of 3143"
"Menominee County, Wisconsin",55078,Rural,18.9,471,"1928 of 3143"
"Defiance County, Ohio",39039,Rural,18.9,4975,"1929 of 3143"
"Crawford County, Illinois",17033,Rural,18.9,2570,"1930 of 3143"
"Knox County, Nebraska",31107,Rural,18.9,1086,"1931 of 3143"
"McLeod County, Minnesota",27085,Rural,18.9,4831,"1932 of 3143"
"Douglas County, Oregon",41019,Rural,18.9,15563,"1933 of 3143"
"Lee County, Illinois",17103,Rural,18.9,4734,"1934 of 3143"
"Sullivan County, Pennsylvania",42113,Rural,18.9,918,"1935 of 3143"
"Stephens County, Oklahoma",40137,Rural,18.9,5647,"1936 of 3143"
"Doniphan County, Kansas",20043,Urban,18.9,929,"1937 of 3143"
"Comanche County, Texas",48093,Rural,18.9,1815,"1938 of 3143"
"Owen County, Kentucky",21187,Rural,18.9,1490,"1939 of 3143"
"Richland County, Illinois",17159,Rural,18.9,2062,"1940 of 3143"
"Sherman County, Nebraska",31163,Rural,18.9,407,"1941 of 3143"
"Henderson County, Kentucky",21101,Rural,18.9,5905,"1942 of 3143"
"Seneca County, Ohio",39147,Rural,18.9,6993,"1943 of 3143"
"Logan County, Ohio",39091,Rural,18.9,6040,"1944 of 3143"
"Hamblen County, Tennessee",47063,Urban,18.8,8351,"1945 of 3143"
"Iron County, Missouri",29093,Rural,18.8,1295,"1946 of 3143"
"Hitchcock County, Nebraska",31087,Rural,18.8,348,"1947 of 3143"
"Preble County, Ohio",39135,Rural,18.8,5412,"1948 of 3143"
"Randolph County, Alabama",01111,Rural,18.8,2936,"1949 of 3143"
"Edgar County, Illinois",17045,Rural,18.8,2327,"1950 of 3143"
"Appanoose County, Iowa",19007,Rural,18.8,1638,"1951 of 3143"
