County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US
"Mercer County, New Jersey",34021,Urban,44.2,114778,"153 of 3143"
"Anne Arundel County, Maryland",24003,Urban,44.1,180512,"154 of 3143"
"Richmond City, Virginia",51760,Urban,44.1,70999,"155 of 3143"
"Dakota County, Minnesota",27037,Urban,44.1,131683,"156 of 3143"
"Gilpin County, Colorado",08047,Urban,43.9,2044,"157 of 3143"
"Rockwall County, Texas",48397,Urban,43.9,31604,"158 of 3143"
"Allegheny County, Pennsylvania",42003,Urban,43.8,395708,"159 of 3143"
"Prince William County, Virginia",51153,Urban,43.7,134907,"160 of 3143"
"Frederick County, Maryland",24021,Urban,43.6,81479,"161 of 3143"
"Rockingham County, New Hampshire",33015,Urban,43.6,101102,"162 of 3143"
"Fredericksburg City, Virginia",51630,Urban,43.5,7346,"163 of 3143"
"Jefferson County, Washington",53031,Rural,43.5,12091,"164 of 3143"
"Tolland County, Connecticut",09013,Urban,43.4,43403,"165 of 3143"
"Saratoga County, New York",36091,Urban,43.4,74144,"166 of 3143"
"New Hanover County, North Carolina",37129,Urban,43.4,68838,"167 of 3143"
"Beaufort County, South Carolina",45013,Urban,43.4,59236,"168 of 3143"
"Bucks County, Pennsylvania",42017,Urban,43.3,200969,"169 of 3143"
"Grafton County, New Hampshire",33009,Rural,43.3,28201,"170 of 3143"
"Yolo County, California",06113,Urban,43.3,55874,"171 of 3143"
"Brazos County, Texas",48041,Urban,43.2,53191,"172 of 3143"
"Dukes County, Massachusetts",25007,Rural,43.2,6788,"173 of 3143"
"Stafford County, Virginia",51179,Urban,43.1,43734,"174 of 3143"
"Buncombe County, North Carolina",37021,Urban,43.0,86104,"175 of 3143"
"Scott County, Minnesota",27139,Urban,42.9,42238,"176 of 3143"
"Utah County, Utah",49049,Urban,42.8,143630,"177 of 3143"
"Putnam County, New York",36079,Urban,42.8,30285,"178 of 3143"
"Lamoille County, Vermont",50015,Rural,42.8,7922,"179 of 3143"
"Orange County, California",06059,Urban,42.8,939818,"180 of 3143"
"Ada County, Idaho",16001,Urban,42.8,145388,"181 of 3143"
"Lewis and Clark County, Montana",30049,Urban,42.7,21640,"182 of 3143"
"Cass County, North Dakota",38017,Urban,42.6,49968,"183 of 3143"
"Grand Isle County, Vermont",50013,Urban,42.6,2389,"184 of 3143"
"Dare County, North Carolina",37055,Rural,42.5,11887,"185 of 3143"
"Santa Cruz County, California",06087,Urban,42.5,76537,"186 of 3143"
"Rockland County, New York",36087,Urban,42.5,88553,"187 of 3143"
"Placer County, California",06061,Urban,42.4,121770,"188 of 3143"
"Brookings County, South Dakota",46011,Rural,42.4,7941,"189 of 3143"
"Chesterfield County, Virginia",51041,Urban,42.3,104584,"190 of 3143"
"Santa Fe County, New Mexico",35049,Urban,42.2,49159,"191 of 3143"
"St. Charles County, Missouri",29183,Urban,42.0,117257,"192 of 3143"
"Addison County, Vermont",50001,Rural,41.8,10913,"193 of 3143"
"Hanover County, Virginia",51085,Urban,41.8,32197,"194 of 3143"
"Lincoln County, South Dakota",46083,Urban,41.8,17935,"195 of 3143"
"Essex County, Massachusetts",25009,Urban,41.7,234961,"196 of 3143"
"Seminole County, Florida",12117,Urban,41.7,139386,"197 of 3143"
"Franklin County, Ohio",39049,Urban,41.7,368534,"198 of 3143"
"San Juan County, Colorado",08111,Rural,41.7,230,"199 of 3143"
"Talbot County, Maryland",24041,Rural,41.5,11865,"200 of 3143"
"Chaffee County, Colorado",08015,Rural,41.4,6425,"201 of 3143"
"Cook County, Illinois",17031,Urban,41.3,1502714,"202 of 3143"
"Douglas County, Nebraska",31055,Urban,41.2,157085,"203 of 3143"
"Greene County, Ohio",39057,Urban,41.2,46842,"204 of 3143"
"Baltimore County, Maryland",24005,Urban,41.2,242699,"205 of 3143"
"Sarpy County, Nebraska",31153,Urban,41.2,50722,"206 of 3143"
"Burlington County, New Jersey",34005,Urban,41.1,135171,"207 of 3143"
"San Diego County, California",06073,Urban,41.0,926681,"208 of 3143"
"Delaware County, Pennsylvania",42045,Urban,40.9,160088,"209 of 3143"
"Lancaster County, Nebraska",31109,Urban,40.9,82137,"210 of 3143"
"Deschutes County, Oregon",41017,Urban,40.8,59952,"211 of 3143"
"Windsor County, Vermont",50027,Rural,40.8,17709,"212 of 3143"
"Juneau Borough, Alaska",02110,Rural,40.7,9348,"213 of 3143"
"Orleans Parish, Louisiana",22071,Urban,40.7,110142,"214 of 3143"
"Woodford County, Kentucky",21239,Urban,40.7,7591,"215 of 3143"
"Ingham County, Michigan",26065,Urban,40.6,70763,"216 of 3143"
"Plymouth County, Massachusetts",25023,Urban,40.5,151032,"217 of 3143"
"Comal County, Texas",48091,Urban,40.5,46877,"218 of 3143"
"Monroe County, New York",36055,Urban,40.5,212814,"219 of 3143"
"Kalamazoo County, Michigan",26077,Urban,40.5,66754,"220 of 3143"
"Kings County, New York",36047,Urban,40.4,751724,"221 of 3143"
"Windham County, Vermont",50025,Rural,40.4,13757,"222 of 3143"
"Hays County, Texas",48209,Urban,40.4,60470,"223 of 3143"
"Hamilton County, Ohio",39061,Urban,40.3,225960,"224 of 3143"
"Richland County, South Carolina",45079,Urban,40.2,105885,"225 of 3143"
"Hillsborough County, New Hampshire",33011,Urban,40.2,121391,"226 of 3143"
"El Paso County, Colorado",08041,Urban,40.2,192411,"227 of 3143"
"Lee County, Alabama",01081,Urban,40.2,43008,"228 of 3143"
"Hartford County, Connecticut",09003,Urban,40.0,250746,"229 of 3143"
"Clay County, South Dakota",46027,Rural,40.0,2934,"230 of 3143"
"Cache County, Utah",49005,Urban,40.0,27488,"231 of 3143"
"Moore County, North Carolina",37125,Urban,39.9,28816,"232 of 3143"
"Franklin County, Massachusetts",25011,Rural,39.8,21530,"233 of 3143"
"Virginia Beach City, Virginia",51810,Urban,39.8,125790,"234 of 3143"
"Alpine County, California",06003,Rural,39.6,423,"235 of 3143"
"Coconino County, Arizona",04005,Urban,39.6,34300,"236 of 3143"
"Cherokee County, Georgia",13057,Urban,39.5,72410,"237 of 3143"
"Jefferson County, Iowa",19101,Rural,39.5,4748,"238 of 3143"
"Archuleta County, Colorado",08007,Rural,39.4,4108,"239 of 3143"
"Fauquier County, Virginia",51061,Urban,39.4,19854,"240 of 3143"
"Borden County, Texas",48033,Rural,39.4,173,"241 of 3143"
"Bennington County, Vermont",50003,Rural,39.4,10573,"242 of 3143"
"Geauga County, Ohio",39055,Urban,39.4,26021,"243 of 3143"
"Union County, Ohio",39159,Urban,39.3,16922,"244 of 3143"
"Greenville County, South Carolina",45045,Urban,39.3,141934,"245 of 3143"
"Campbell County, Kentucky",21037,Urban,39.3,25542,"246 of 3143"
"Lake County, Colorado",08065,Rural,39.2,2070,"247 of 3143"
"Hendricks County, Indiana",18063,Urban,39.2,46303,"248 of 3143"
"Lincoln County, Maine",23015,Rural,39.2,10719,"249 of 3143"
"Clackamas County, Oregon",41005,Urban,39.2,117712,"250 of 3143"
"Knox County, Tennessee",47093,Urban,39.2,126288,"251 of 3143"
"Tippecanoe County, Indiana",18157,Urban,39.1,40510,"252 of 3143"
"Madison County, Idaho",16065,Rural,39.1,6851,"253 of 3143"
"Suffolk County, New York",36103,Urban,39.0,416452,"254 of 3143"
"Dutchess County, New York",36027,Urban,39.0,82207,"255 of 3143"
"Sussex County, New Jersey",34037,Urban,39.0,40950,"256 of 3143"
"Polk County, Iowa",19153,Urban,38.9,127845,"257 of 3143"
"Gwinnett County, Georgia",13135,Urban,38.9,238789,"258 of 3143"
"Nevada County, California",06057,Rural,38.8,30662,"259 of 3143"
"Harford County, Maryland",24025,Urban,38.8,70590,"260 of 3143"
"Palm Beach County, Florida",12099,Urban,38.8,426118,"261 of 3143"
"Carroll County, Maryland",24013,Urban,38.8,46722,"262 of 3143"
"Collier County, Florida",12021,Urban,38.7,113010,"263 of 3143"
"Strafford County, New Hampshire",33017,Urban,38.7,34019,"264 of 3143"
"Ellis County, Kansas",20051,Rural,38.7,6748,"265 of 3143"
"Cumberland County, Pennsylvania",42041,Urban,38.7,70365,"266 of 3143"
"Grand Traverse County, Michigan",26055,Urban,38.7,26664,"267 of 3143"
"Sagadahoc County, Maine",23023,Urban,38.7,10770,"268 of 3143"
"St. Louis City, Missouri",29510,Urban,38.6,83271,"269 of 3143"
"Payne County, Oklahoma",40119,Rural,38.6,17058,"270 of 3143"
"Kent County, Michigan",26081,Urban,38.6,169031,"271 of 3143"
"Union County, North Carolina",37179,Urban,38.4,59456,"272 of 3143"
"Poquoson City, Virginia",51735,Urban,38.4,3363,"273 of 3143"
"Davis County, Utah",49011,Urban,38.4,82648,"274 of 3143"
"Worcester County, Massachusetts",25027,Urban,38.4,229371,"275 of 3143"
"Butler County, Pennsylvania",42019,Urban,38.3,53500,"276 of 3143"
"Union County, New Jersey",34039,Urban,38.3,149113,"277 of 3143"
"Keweenaw County, Michigan",26083,Rural,38.3,664,"278 of 3143"
"Sarasota County, Florida",12115,Urban,38.3,135055,"279 of 3143"
"Hood River County, Oregon",41027,Rural,38.3,6407,"280 of 3143"
"New Castle County, Delaware",10003,Urban,38.3,151345,"281 of 3143"
"East Baton Rouge Parish, Louisiana",22033,Urban,38.2,108691,"282 of 3143"
"Livingston County, Michigan",26093,Urban,38.1,52754,"283 of 3143"
"Mason County, Texas",48319,Rural,38.0,1052,"284 of 3143"
"Lynchburg City, Virginia",51680,Urban,38.0,16782,"285 of 3143"
"San Luis Obispo County, California",06079,Urban,38.0,71967,"286 of 3143"
"Teller County, Colorado",08119,Urban,38.0,7336,"287 of 3143"
"Berkshire County, Massachusetts",25003,Urban,38.0,36320,"288 of 3143"
"El Dorado County, California",06017,Urban,38.0,53438,"289 of 3143"
"Guilford County, North Carolina",37081,Urban,37.9,135590,"290 of 3143"
"Emmet County, Michigan",26047,Rural,37.9,9464,"291 of 3143"
"Monroe County, Illinois",17133,Urban,37.9,9370,"292 of 3143"
"Pottawatomie County, Kansas",20149,Urban,37.9,6178,"293 of 3143"
"Knox County, Maine",23013,Rural,37.9,11774,"294 of 3143"
"Sonoma County, California",06097,Urban,37.8,134299,"295 of 3143"
"Napa County, California",06055,Urban,37.8,37170,"296 of 3143"
"Grand County, Colorado",08049,Rural,37.8,4557,"297 of 3143"
"St. Croix County, Wisconsin",55109,Urban,37.8,24132,"298 of 3143"
"Glasscock County, Texas",48173,Rural,37.8,279,"299 of 3143"
"Montgomery County, Texas",48339,Urban,37.7,155678,"300 of 3143"
"Salt Lake County, Utah",49035,Urban,37.7,284370,"301 of 3143"
