County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Index)
"Lee County, Florida",12071,Urban,0.7086
"Gulf County, Florida",12045,Rural,0.7082
"Burke County, North Carolina",37023,Urban,0.7079
"Ramsey County, Minnesota",27123,Urban,0.7076
"Floyd County, Kentucky",21071,Rural,0.7073
"Wilkes County, North Carolina",37193,Rural,0.7070
"Lynchburg City, Virginia",51680,Urban,0.7066
"Bleckley County, Georgia",13023,Rural,0.7063
"Webster County, Kentucky",21233,Rural,0.7060
"San Diego County, California",06073,Urban,0.7057
"Pittsylvania County, Virginia",51143,Rural,0.7054
"Randolph County, Arkansas",05121,Rural,0.7051
"Chester County, South Carolina",45023,Urban,0.7047
"Pasco County, Florida",12101,Urban,0.7041
"St. Martin Parish, Louisiana",22099,Urban,0.7041
"Pacific County, Washington",53049,Rural,0.7038
"Jackson County, Tennessee",47087,Rural,0.7035
"Lake County, Indiana",18089,Urban,0.7031
"Lewis County, Washington",53041,Rural,0.7028
"Jackson County, Oregon",41029,Urban,0.7025
"Horry County, South Carolina",45051,Urban,0.7022
"Fayette County, West Virginia",54019,Urban,0.7019
"Douglas County, Georgia",13097,Urban,0.7012
"Letcher County, Kentucky",21133,Rural,0.7012
"Butte County, Idaho",16023,Urban,0.7009
"Barton County, Kansas",20009,Rural,0.7006
"Lawrence County, Arkansas",05075,Rural,0.7003
"Carroll County, Mississippi",28015,Rural,0.7000
"Bledsoe County, Tennessee",47007,Rural,0.6997
"Prentiss County, Mississippi",28117,Rural,0.6993
"Screven County, Georgia",13251,Rural,0.6990
"Volusia County, Florida",12127,Urban,0.6987
"Garza County, Texas",48169,Urban,0.6984
"Jackson County, Oklahoma",40065,Rural,0.6981
"Union County, Mississippi",28145,Rural,0.6977
"Leon County, Texas",48289,Rural,0.6974
"Washoe County, Nevada",32031,Urban,0.6971
"Oconee County, South Carolina",45073,Rural,0.6968
"McCreary County, Kentucky",21147,Rural,0.6965
"Breathitt County, Kentucky",21025,Rural,0.6962
"Mitchell County, Texas",48335,Rural,0.6958
"Taos County, New Mexico",35055,Rural,0.6955
"Leon County, Florida",12073,Urban,0.6952
"Cooke County, Texas",48097,Rural,0.6946
"Marion County, Alabama",01093,Rural,0.6946
"Luzerne County, Pennsylvania",42079,Urban,0.6942
"Oktibbeha County, Mississippi",28105,Rural,0.6939
"Pettis County, Missouri",29159,Rural,0.6936
"Graham County, North Carolina",37075,Rural,0.6933
"Clare County, Michigan",26035,Rural,0.6930
"Pulaski County, Missouri",29169,Rural,0.6927
"Talbot County, Georgia",13263,Urban,0.6923
"Taliaferro County, Georgia",13265,Rural,0.6920
"Greene County, Arkansas",05055,Rural,0.6917
"Perry County, Mississippi",28111,Urban,0.6914
"Neosho County, Kansas",20133,Rural,0.6911
"Pearl River County, Mississippi",28109,Rural,0.6907
"Montgomery County, Ohio",39113,Urban,0.6904
"Perry County, Kentucky",21193,Rural,0.6901
"Lynn County, Texas",48305,Urban,0.6898
"Red River County, Texas",48387,Rural,0.6895
"Stephens County, Oklahoma",40137,Rural,0.6892
"Grayson County, Texas",48181,Urban,0.6888
"Dallas County, Arkansas",05039,Rural,0.6885
"Johnson County, Tennessee",47091,Rural,0.6882
"Stevens County, Kansas",20189,Rural,0.6879
"Butler County, Alabama",01013,Rural,0.6872
"Martin County, Kentucky",21159,Rural,0.6869
"Jackson County, Missouri",29095,Urban,0.6866
"Polk County, Arkansas",05113,Rural,0.6863
"Durham County, North Carolina",37063,Urban,0.6860
"Petersburg Census Area, Alaska",02195,Rural,0.6857
"Orange County, Texas",48361,Urban,0.6853
"Crenshaw County, Alabama",01041,Rural,0.6850
"Murray County, Georgia",13213,Urban,0.6847
"Edwards County, Texas",48137,Rural,0.6844
"Smyth County, Virginia",51173,Rural,0.6841
"Crawford County, Georgia",13079,Urban,0.6837
"Andrews County, Texas",48003,Rural,0.6834
"Napa County, California",06055,Urban,0.6831
"Oneida County, New York",36065,Urban,0.6828
"Kit Carson County, Colorado",08063,Rural,0.6825
"Monroe County, Florida",12087,Rural,0.6822
"Catawba County, North Carolina",37035,Urban,0.6818
"Calhoun County, Michigan",26025,Urban,0.6815
"Wayne County, Kentucky",21231,Rural,0.6812
"Cattaraugus County, New York",36009,Rural,0.6809
"Vermilion County, Illinois",17183,Rural,0.6806
"Coffee County, Alabama",01031,Rural,0.6802
"Marshall County, Iowa",19127,Rural,0.6799
"Walker County, Georgia",13295,Urban,0.6796
"Newton County, Mississippi",28101,Rural,0.6793
"Grundy County, Missouri",29079,Rural,0.6790
"Morgan County, Alabama",01103,Urban,0.6787
"Yuma County, Colorado",08125,Rural,0.6783
"Lucas County, Ohio",39095,Urban,0.6780
"Charles Mix County, South Dakota",46023,Rural,0.6777
"Jefferson County, Iowa",19101,Rural,0.6774
"Fleming County, Kentucky",21069,Rural,0.6771
"Barton County, Missouri",29011,Rural,0.6767
"Mingo County, West Virginia",54059,Rural,0.6761
"Pershing County, Nevada",32027,Rural,0.6761
"Buckingham County, Virginia",51029,Rural,0.6758
"Southeast Fairbanks Census Area, Alaska",02240,Rural,0.6755
"Summers County, West Virginia",54089,Rural,0.6752
"Berrien County, Georgia",13019,Rural,0.6748
"Gaines County, Texas",48165,Rural,0.6745
"Lincoln County, Idaho",16063,Rural,0.6742
"Salem County, New Jersey",34033,Urban,0.6739
"Jones County, North Carolina",37103,Rural,0.6736
"Cottle County, Texas",48101,Rural,0.6732
"Sedgwick County, Colorado",08115,Rural,0.6729
"Bradley County, Tennessee",47011,Urban,0.6726
"Hays County, Texas",48209,Urban,0.6723
"Etowah County, Alabama",01055,Urban,0.6720
"Benewah County, Idaho",16009,Rural,0.6717
"Payette County, Idaho",16075,Rural,0.6713
"Izard County, Arkansas",05065,Rural,0.6710
"Saginaw County, Michigan",26145,Urban,0.6707
"Boyd County, Kentucky",21019,Urban,0.6704
"Pike County, Ohio",39131,Rural,0.6701
"Roberts County, South Dakota",46109,Rural,0.6694
"Washington County, Maine",23029,Rural,0.6694
"Marengo County, Alabama",01091,Rural,0.6691
"Fremont County, Colorado",08043,Rural,0.6688
"Westchester County, New York",36119,Urban,0.6685
"Union County, Arkansas",05139,Rural,0.6682
"Kenedy County, Texas",48261,Rural,0.6678
"Wayne County, Missouri",29223,Rural,0.6675
"Trigg County, Kentucky",21221,Urban,0.6672
"Union County, Florida",12125,Rural,0.6669
"Carter County, Tennessee",47019,Urban,0.6666
"Red River Parish, Louisiana",22081,Rural,0.6662
"Berks County, Pennsylvania",42011,Urban,0.6659
"Peoria County, Illinois",17143,Urban,0.6656
"Jefferson County, New York",36045,Urban,0.6653
"Scott County, Missouri",29201,Rural,0.6650
"Middlesex County, New Jersey",34023,Urban,0.6647
"Cedar County, Missouri",29039,Rural,0.6643
"Jackson County, Kentucky",21109,Rural,0.6640
"Hamilton County, Texas",48193,Rural,0.6634
"Stanly County, North Carolina",37167,Rural,0.6631
"Clark County, Ohio",39023,Urban,0.6627
"Logan County, West Virginia",54045,Rural,0.6624
"Glascock County, Georgia",13125,Rural,0.6621
"Camden County, Georgia",13039,Rural,0.6618
"Harding County, New Mexico",35021,Rural,0.6615
"Granville County, North Carolina",37077,Rural,0.6612
"Saguache County, Colorado",08109,Rural,0.6608
"Clay County, Tennessee",47027,Rural,0.6605
"Hernando County, Florida",12053,Urban,0.6602
"Fulton County, Georgia",13121,Urban,0.6599
"Parmer County, Texas",48369,Rural,0.6596
"Liberty County, Montana",30051,Rural,0.6592
"Oregon County, Missouri",29149,Rural,0.6589
"Linn County, Oregon",41043,Urban,0.6586
"Watonwan County, Minnesota",27165,Rural,0.6583
"Lampasas County, Texas",48281,Urban,0.6580
"Newton County, Georgia",13217,Urban,0.6577
"Genesee County, Michigan",26049,Urban,0.6573
"Crawford County, Missouri",29055,Rural,0.6570
"McDuffie County, Georgia",13189,Urban,0.6567
"Knox County, Texas",48275,Rural,0.6564
"Pontotoc County, Oklahoma",40123,Rural,0.6561
"Saline County, Illinois",17165,Rural,0.6557
"Chattahoochee County, Georgia",13053,Urban,0.6554
"Dent County, Missouri",29065,Rural,0.6551
"Choctaw County, Alabama",01023,Rural,0.6548
"Aroostook County, Maine",23003,Rural,0.6545
"Mason County, Kentucky",21161,Rural,0.6542
"Twiggs County, Georgia",13289,Urban,0.6538
"Fulton County, Arkansas",05049,Rural,0.6535
"Manassas Park City, Virginia",51685,Urban,0.6532
