County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Index)
"Stutsman County, North Dakota",38093,Rural,0.4419
"Penobscot County, Maine",23019,Urban,0.4416
"Fentress County, Tennessee",47049,Rural,0.4413
"Rabun County, Georgia",13241,Rural,0.4410
"Summit County, Ohio",39153,Urban,0.4407
"Lenawee County, Michigan",26091,Rural,0.4403
"Saline County, Missouri",29195,Rural,0.4400
"Elmore County, Alabama",01051,Urban,0.4397
"Marion County, West Virginia",54049,Rural,0.4394
"Lafayette County, Mississippi",28071,Rural,0.4391
"Dade County, Georgia",13083,Urban,0.4388
"Tama County, Iowa",19171,Rural,0.4384
"Clay County, Minnesota",27027,Urban,0.4381
"Harrison County, Missouri",29081,Rural,0.4378
"Franklin County, Massachusetts",25011,Rural,0.4375
"Bergen County, New Jersey",34003,Urban,0.4372
"Marion County, Missouri",29127,Rural,0.4368
"Polk County, Minnesota",27119,Urban,0.4365
"Iosco County, Michigan",26069,Rural,0.4362
"Stoddard County, Missouri",29207,Rural,0.4359
"Loving County, Texas",48301,Rural,0.4356
"Kent County, Maryland",24029,Rural,0.4353
"Scott County, Kansas",20171,Rural,0.4349
"Butler County, Ohio",39017,Urban,0.4346
"Charleston County, South Carolina",45019,Urban,0.4343
"Grady County, Oklahoma",40051,Urban,0.4340
"Stone County, Missouri",29209,Rural,0.4337
"Baxter County, Arkansas",05005,Rural,0.4333
"Jefferson County, Ohio",39081,Urban,0.4330
"Culpeper County, Virginia",51047,Urban,0.4327
"Stokes County, North Carolina",37169,Urban,0.4324
"Cabarrus County, North Carolina",37025,Urban,0.4321
"Madison County, Idaho",16065,Rural,0.4318
"Pend Oreille County, Washington",53051,Rural,0.4314
"Montmorency County, Michigan",26119,Rural,0.4311
"Kimball County, Nebraska",31105,Rural,0.4308
"Worcester County, Maryland",24047,Rural,0.4305
"Monroe County, Indiana",18105,Urban,0.4302
"Shenandoah County, Virginia",51171,Rural,0.4298
"Pleasants County, West Virginia",54073,Rural,0.4295
"Perry County, Arkansas",05105,Urban,0.4292
"New Hanover County, North Carolina",37129,Urban,0.4289
"Henderson County, North Carolina",37089,Urban,0.4286
"Asotin County, Washington",53003,Urban,0.4283
"Southampton County, Virginia",51175,Rural,0.4279
"San Juan County, Colorado",08111,Rural,0.4276
"Juneau County, Wisconsin",55057,Rural,0.4273
"Columbia County, New York",36021,Rural,0.4270
"Rutherford County, Tennessee",47149,Urban,0.4267
"Monroe County, Ohio",39111,Rural,0.4263
"Clark County, Washington",53011,Urban,0.4257
"Kalamazoo County, Michigan",26077,Urban,0.4257
"Eureka County, Nevada",32011,Rural,0.4254
"Ohio County, Kentucky",21183,Rural,0.4251
"Fisher County, Texas",48151,Rural,0.4248
"Boone County, Missouri",29019,Urban,0.4244
"Bollinger County, Missouri",29017,Urban,0.4241
"Watauga County, North Carolina",37189,Rural,0.4238
"Berkshire County, Massachusetts",25003,Urban,0.4235
"Clay County, North Carolina",37043,Rural,0.4232
"Green Lake County, Wisconsin",55047,Rural,0.4228
"Carlisle County, Kentucky",21039,Urban,0.4225
"Hardeman County, Texas",48197,Rural,0.4222
"Franklin County, Tennessee",47051,Rural,0.4219
"Tuscarawas County, Ohio",39157,Rural,0.4216
"Houghton County, Michigan",26061,Rural,0.4213
"Wabash County, Illinois",17185,Rural,0.4209
"Northumberland County, Pennsylvania",42097,Rural,0.4206
"Phillips County, Colorado",08095,Rural,0.4203
"Garden County, Nebraska",31069,Rural,0.4200
"Little River County, Arkansas",05081,Urban,0.4197
"Harvey County, Kansas",20079,Urban,0.4193
"Niobrara County, Wyoming",56027,Rural,0.4190
"Montgomery County, Missouri",29139,Rural,0.4187
"Washington County, Kentucky",21229,Rural,0.4184
"Hickman County, Tennessee",47081,Urban,0.4181
"Baraga County, Michigan",26013,Rural,0.4178
"Des Moines County, Iowa",19057,Rural,0.4174
"Gratiot County, Michigan",26057,Rural,0.4171
"Wayne County, Iowa",19185,Rural,0.4168
"Alpena County, Michigan",26007,Rural,0.4165
"Columbiana County, Ohio",39029,Rural,0.4162
"Tipton County, Tennessee",47167,Urban,0.4158
"Essex County, Vermont",50009,Rural,0.4155
"Campbell County, Virginia",51031,Urban,0.4152
"Chesapeake City, Virginia",51550,Urban,0.4149
"Smith County, Tennessee",47159,Urban,0.4146
"Haskell County, Kansas",20081,Rural,0.4143
"Wythe County, Virginia",51197,Rural,0.4139
"Monroe County, Pennsylvania",42089,Rural,0.4136
"Ocean County, New Jersey",34029,Urban,0.4133
"Richland County, Illinois",17159,Rural,0.4130
"Washington County, New York",36115,Urban,0.4127
"Wayne County, Ohio",39169,Rural,0.4123
"Bonner County, Idaho",16017,Rural,0.4120
"Prince William County, Virginia",51153,Urban,0.4117
"Iron County, Utah",49021,Rural,0.4114
"Nicholas County, Kentucky",21181,Rural,0.4111
"Hennepin County, Minnesota",27053,Urban,0.4108
"Dunn County, North Dakota",38025,Rural,0.4104
"Lincoln County, Oklahoma",40081,Urban,0.4101
"Crockett County, Texas",48105,Rural,0.4098
"Walton County, Georgia",13297,Urban,0.4095
"Lamar County, Georgia",13171,Rural,0.4092
"Plumas County, California",06063,Rural,0.4088
"Anderson County, Kansas",20003,Rural,0.4085
"Eddy County, North Dakota",38027,Rural,0.4082
"Macomb County, Michigan",26099,Urban,0.4079
"Greene County, New York",36039,Rural,0.4076
"Lemhi County, Idaho",16059,Rural,0.4073
"Carter County, Montana",30011,Rural,0.4069
"Gentry County, Missouri",29075,Rural,0.4066
"Lonoke County, Arkansas",05085,Urban,0.4063
"Cherokee County, Alabama",01019,Rural,0.4060
"Davie County, North Carolina",37059,Urban,0.4057
"Gates County, North Carolina",37073,Urban,0.4053
"Potter County, Pennsylvania",42105,Rural,0.4050
"Rensselaer County, New York",36083,Urban,0.4047
"Alpine County, California",06003,Rural,0.4044
"Sangamon County, Illinois",17167,Urban,0.4041
"Northampton County, Pennsylvania",42095,Urban,0.4038
"Beaver County, Oklahoma",40007,Rural,0.4034
"Lancaster County, Nebraska",31109,Urban,0.4031
"Harper County, Oklahoma",40059,Rural,0.4028
"Blaine County, Idaho",16013,Rural,0.4025
"Amherst County, Virginia",51009,Urban,0.4022
"Henry County, Georgia",13151,Urban,0.4018
"Erie County, Ohio",39043,Urban,0.4015
"Itasca County, Minnesota",27061,Rural,0.4012
"Barron County, Wisconsin",55005,Rural,0.4009
"Adair County, Missouri",29001,Rural,0.4006
"Boone County, West Virginia",54005,Urban,0.4003
"White County, Illinois",17193,Rural,0.3999
"Seminole County, Florida",12117,Urban,0.3996
"Cobb County, Georgia",13067,Urban,0.3993
"Caroline County, Virginia",51033,Rural,0.3990
"Natrona County, Wyoming",56025,Urban,0.3987
"Lincoln County, West Virginia",54043,Rural,0.3983
"Kingfisher County, Oklahoma",40073,Rural,0.3980
"Fulton County, New York",36035,Rural,0.3977
"Brantley County, Georgia",13025,Urban,0.3974
"Wright County, Iowa",19197,Rural,0.3971
"Shelby County, Missouri",29205,Rural,0.3968
"Kauai County, Hawaii",15007,Rural,0.3964
"LaGrange County, Indiana",18087,Rural,0.3961
"Rawlins County, Kansas",20153,Rural,0.3958
"Rutland County, Vermont",50021,Rural,0.3955
"Wayne County, Pennsylvania",42127,Rural,0.3952
"Williamson County, Illinois",17199,Rural,0.3948
"Orange County, North Carolina",37135,Urban,0.3945
"Hardy County, West Virginia",54031,Rural,0.3942
"Thurston County, Washington",53067,Urban,0.3939
"Shackelford County, Texas",48417,Rural,0.3936
"Sandoval County, New Mexico",35043,Urban,0.3933
"Clay County, Arkansas",05021,Rural,0.3929
"Kosciusko County, Indiana",18085,Rural,0.3926
"Holmes County, Ohio",39075,Rural,0.3923
"Oldham County, Texas",48359,Urban,0.3920
"Waushara County, Wisconsin",55137,Rural,0.3917
"Fayette County, Ohio",39047,Rural,0.3913
"Vermillion County, Indiana",18165,Urban,0.3910
"Tompkins County, New York",36109,Urban,0.3907
"Miami County, Indiana",18103,Rural,0.3904
"Monroe County, West Virginia",54063,Rural,0.3901
"Roscommon County, Michigan",26143,Rural,0.3898
"La Salle County, Illinois",17099,Rural,0.3894
"Mono County, California",06051,Rural,0.3891
"Carteret County, North Carolina",37031,Rural,0.3888
"Stewart County, Tennessee",47161,Urban,0.3885
"Page County, Iowa",19145,Rural,0.3878
"Rogers County, Oklahoma",40131,Urban,0.3878
"Washington County, Utah",49053,Urban,0.3875
"Brule County, South Dakota",46015,Rural,0.3872
"Wood County, West Virginia",54107,Urban,0.3869
"Pulaski County, Indiana",18131,Rural,0.3866
"Johnson County, Iowa",19103,Urban,0.3863
"Cotton County, Oklahoma",40033,Urban,0.3859
"Crawford County, Ohio",39033,Rural,0.3856
"Amelia County, Virginia",51007,Urban,0.3853
"Lincoln County, Colorado",08073,Rural,0.3850
"Houston County, Tennessee",47083,Rural,0.3847
"Madison County, Kentucky",21151,Rural,0.3843
"Ascension Parish, Louisiana",22005,Urban,0.3840
"Fergus County, Montana",30027,Rural,0.3837
"Johnson County, Illinois",17087,Rural,0.3834
"Blue Earth County, Minnesota",27013,Urban,0.3831
"Buffalo County, Nebraska",31019,Rural,0.3828
"Ford County, Illinois",17053,Urban,0.3824
"Franklin County, Texas",48159,Rural,0.3821
"Montour County, Pennsylvania",42093,Rural,0.3818
"Johnson County, Missouri",29101,Rural,0.3815
"Mason County, Michigan",26105,Rural,0.3812
"Becker County, Minnesota",27005,Rural,0.3808
"Prince George County, Virginia",51149,Urban,0.3805
"Williamsburg City, Virginia",51830,Urban,0.3802
"Forest County, Wisconsin",55041,Rural,0.3799
"Denton County, Texas",48121,Urban,0.3796
"Miller County, Missouri",29131,Rural,0.3793
"Dixon County, Nebraska",31051,Rural,0.3789
"Stanton County, Kansas",20187,Rural,0.3786
"Union County, Tennessee",47173,Urban,0.3783
"Brooke County, West Virginia",54009,Urban,0.3780
"Lee County, Illinois",17103,Rural,0.3777
"Iredell County, North Carolina",37097,Urban,0.3773
"Arenac County, Michigan",26011,Rural,0.3770
"Union County, Iowa",19175,Rural,0.3767
"Richland County, Wisconsin",55103,Rural,0.3764
"King County, Washington",53033,Urban,0.3761
"Sawyer County, Wisconsin",55113,Rural,0.3758
"Bradford County, Pennsylvania",42015,Rural,0.3754
"Jackson County, Colorado",08057,Rural,0.3751
"Minnehaha County, South Dakota",46099,Urban,0.3748
"Jefferson County, Pennsylvania",42065,Rural,0.3745
"Davison County, South Dakota",46035,Rural,0.3742
"Knox County, Tennessee",47093,Urban,0.3738
"Humphreys County, Tennessee",47085,Rural,0.3735
"Rankin County, Mississippi",28121,Urban,0.3732
"Cherokee County, North Carolina",37039,Rural,0.3729
"Lincoln County, Tennessee",47103,Rural,0.3726
"Yakutat City and Borough, Alaska",02282,Rural,0.3723
"Benton County, Minnesota",27009,Urban,0.3719
"Cooper County, Missouri",29053,Urban,0.3716
"Custer County, Idaho",16037,Rural,0.3713
"Platte County, Nebraska",31141,Rural,0.3710
"Crawford County, Michigan",26039,Rural,0.3707
"Washington County, Oregon",41067,Urban,0.3703
"Marin County, California",06041,Urban,0.3700
"Edmonson County, Kentucky",21061,Urban,0.3697
"Wayne County, West Virginia",54099,Urban,0.3694
"Brown County, Ohio",39015,Urban,0.3691
"Perry County, Ohio",39127,Urban,0.3688
"Cortland County, New York",36023,Rural,0.3684
"O'Brien County, Iowa",19141,Rural,0.3681
"Carlton County, Minnesota",27017,Urban,0.3678
"Jones County, Georgia",13169,Urban,0.3675
"Lawrence County, Ohio",39087,Urban,0.3672
"Fayette County, Tennessee",47047,Urban,0.3668
"Delta County, Texas",48119,Rural,0.3665
"Teton County, Montana",30099,Rural,0.3662
"Clark County, South Dakota",46025,Rural,0.3659
"Venango County, Pennsylvania",42121,Rural,0.3656
"Sarasota County, Florida",12115,Urban,0.3653
"Clay County, Florida",12019,Urban,0.3649
"Haywood County, North Carolina",37087,Rural,0.3646
"Jefferson County, Washington",53031,Rural,0.3643
"Colfax County, Nebraska",31037,Rural,0.3640
"Trimble County, Kentucky",21223,Rural,0.3633
"Wayne County, New York",36117,Urban,0.3633
"Page County, Virginia",51139,Rural,0.3630
"Faulk County, South Dakota",46049,Rural,0.3627
"Lawrence County, Alabama",01079,Urban,0.3624
"Wake County, North Carolina",37183,Urban,0.3621
"Somerset County, Pennsylvania",42111,Rural,0.3618
"Santa Clara County, California",06085,Urban,0.3614
"Lumpkin County, Georgia",13187,Urban,0.3608
"Van Buren County, Iowa",19177,Rural,0.3608
"Cambria County, Pennsylvania",42021,Urban,0.3605
"Douglas County, Kansas",20045,Urban,0.3602
"Greenlee County, Arizona",04011,Rural,0.3598
"Vinton County, Ohio",39163,Rural,0.3595
"Pickaway County, Ohio",39129,Urban,0.3592
"Custer County, Montana",30017,Rural,0.3589
"Manistee County, Michigan",26101,Rural,0.3583
"Polk County, North Carolina",37149,Rural,0.3583
"Major County, Oklahoma",40093,Rural,0.3579
"Columbia County, Washington",53013,Rural,0.3576
"Jennings County, Indiana",18079,Rural,0.3573
"Kennebec County, Maine",23011,Rural,0.3570
"Prairie County, Montana",30079,Rural,0.3567
"DeSoto County, Mississippi",28033,Urban,0.3563
"Crook County, Oregon",41013,Urban,0.3560
"Snohomish County, Washington",53061,Urban,0.3557
"Madison County, Mississippi",28089,Urban,0.3554
"Fairfax City, Virginia",51600,Urban,0.3551
"Orleans County, Vermont",50019,Rural,0.3548
"Bureau County, Illinois",17011,Rural,0.3544
"Cape May County, New Jersey",34009,Urban,0.3541
"Taylor County, West Virginia",54091,Rural,0.3538
"Muhlenberg County, Kentucky",21177,Rural,0.3535
"Cleburne County, Arkansas",05023,Rural,0.3532
"Juneau Borough, Alaska",02110,Rural,0.3528
"Red Willow County, Nebraska",31145,Rural,0.3522
"Sierra County, California",06091,Rural,0.3522
"Randall County, Texas",48381,Urban,0.3519
"Essex County, New York",36031,Rural,0.3516
"Marshall County, Tennessee",47117,Rural,0.3513
"Madison County, Alabama",01089,Urban,0.3509
"Cumberland County, Tennessee",47035,Rural,0.3506
"Howard County, Missouri",29089,Urban,0.3500
"Madison County, North Carolina",37115,Urban,0.3500
"Eagle County, Colorado",08037,Rural,0.3497
"Camden County, Missouri",29029,Rural,0.3493
"Bennington County, Vermont",50003,Rural,0.3490
"Baldwin County, Alabama",01003,Urban,0.3487
"Archuleta County, Colorado",08007,Rural,0.3484
"Huntingdon County, Pennsylvania",42061,Rural,0.3481
"Cache County, Utah",49005,Urban,0.3478
"Jessamine County, Kentucky",21113,Urban,0.3474
"Weber County, Utah",49057,Urban,0.3471
"Russell County, Virginia",51167,Rural,0.3468
"Cass County, Minnesota",27021,Rural,0.3465
"Sheridan County, Nebraska",31161,Rural,0.3462
"Lucas County, Iowa",19117,Rural,0.3458
"White County, Georgia",13311,Rural,0.3455
"Oxford County, Maine",23017,Rural,0.3452
"Lawrence County, South Dakota",46081,Rural,0.3449
"Clinton County, Iowa",19045,Rural,0.3446
"Clinton County, Indiana",18023,Rural,0.3443
"Webster County, Iowa",19187,Rural,0.3439
"York County, South Carolina",45091,Urban,0.3436
"Canadian County, Oklahoma",40017,Urban,0.3433
"Edgar County, Illinois",17045,Rural,0.3430
"Cloud County, Kansas",20029,Rural,0.3427
"Garfield County, Utah",49017,Rural,0.3423
"Greene County, Pennsylvania",42059,Rural,0.3420
"Perkins County, South Dakota",46105,Rural,0.3417
"Henrico County, Virginia",51087,Urban,0.3414
"Kendall County, Texas",48259,Urban,0.3411
"Radford City, Virginia",51750,Urban,0.3408
"McNairy County, Tennessee",47109,Rural,0.3404
"St. Louis County, Missouri",29189,Urban,0.3401
"Hamilton County, Kansas",20075,Rural,0.3398
"Taylor County, Kentucky",21217,Rural,0.3395
"Pickens County, Georgia",13227,Urban,0.3392
"Macon County, Missouri",29121,Rural,0.3388
"Walsh County, North Dakota",38099,Rural,0.3385
"Washington County, Indiana",18175,Urban,0.3382
"York County, Pennsylvania",42133,Urban,0.3379
"Sherman County, Oregon",41055,Rural,0.3376
"Banks County, Georgia",13011,Rural,0.3373
"Benton County, Indiana",18007,Urban,0.3369
"Kittitas County, Washington",53037,Rural,0.3366
"Grant County, Kansas",20067,Rural,0.3363
"Elk County, Kansas",20049,Rural,0.3360
"Calaveras County, California",06009,Rural,0.3357
"Donley County, Texas",48129,Rural,0.3353
"Delta County, Michigan",26041,Rural,0.3350
"Dewey County, Oklahoma",40043,Rural,0.3347
"Centre County, Pennsylvania",42027,Urban,0.3344
"Pratt County, Kansas",20151,Rural,0.3341
"Talbot County, Maryland",24041,Rural,0.3338
"Kitsap County, Washington",53035,Urban,0.3334
"Weston County, Wyoming",56045,Rural,0.3331
"Skagway Municipality, Alaska",02230,Rural,0.3328
"Monongalia County, West Virginia",54061,Urban,0.3325
"Sumner County, Kansas",20191,Urban,0.3322
"Garrard County, Kentucky",21079,Rural,0.3312
"Harlan County, Nebraska",31083,Rural,0.3312
"Kiowa County, Colorado",08061,Rural,0.3312
"Platte County, Wyoming",56031,Rural,0.3309
"Moore County, North Carolina",37125,Urban,0.3306
"Otter Tail County, Minnesota",27111,Rural,0.3303
"Ionia County, Michigan",26067,Urban,0.3296
"Mercer County, North Dakota",38057,Rural,0.3296
"Portage County, Ohio",39133,Urban,0.3293
"Monroe County, Georgia",13207,Urban,0.3290
"Otsego County, New York",36077,Rural,0.3287
"Pickett County, Tennessee",47137,Rural,0.3283
"Livingston County, Illinois",17105,Rural,0.3280
"Pope County, Illinois",17151,Rural,0.3277
"Washington County, Ohio",39167,Rural,0.3274
"Camas County, Idaho",16025,Rural,0.3271
"Benton County, Arkansas",05007,Urban,0.3268
"Jackson County, Georgia",13157,Rural,0.3264
"Dinwiddie County, Virginia",51053,Urban,0.3261
"Putnam County, Missouri",29171,Rural,0.3258
"Carroll County, Ohio",39019,Urban,0.3255
"Scott County, Iowa",19163,Urban,0.3252
"Salem City, Virginia",51775,Urban,0.3248
"Hutchinson County, Texas",48233,Rural,0.3245
"Phelps County, Nebraska",31137,Rural,0.3242
"Iron County, Michigan",26071,Rural,0.3239
"Whiteside County, Illinois",17195,Rural,0.3236
"Limestone County, Alabama",01083,Urban,0.3233
"Newton County, Indiana",18111,Urban,0.3229
"Russell County, Kansas",20167,Rural,0.3226
"Washtenaw County, Michigan",26161,Urban,0.3223
"Cecil County, Maryland",24015,Urban,0.3220
"Washington County, Alabama",01129,Rural,0.3217
"Santa Rosa County, Florida",12113,Urban,0.3213
"Franklin County, Virginia",51067,Urban,0.3210
"Williamson County, Texas",48491,Urban,0.3207
"Sioux County, Nebraska",31165,Rural,0.3204
"Wetzel County, West Virginia",54103,Rural,0.3201
"Grand Forks County, North Dakota",38035,Urban,0.3198
"Franklin County, Pennsylvania",42055,Urban,0.3194
"Montgomery County, Illinois",17135,Rural,0.3191
"McKean County, Pennsylvania",42083,Rural,0.3188
"Windham County, Vermont",50025,Rural,0.3185
"Perry County, Indiana",18123,Rural,0.3182
"Alexandria City, Virginia",51510,Urban,0.3178
"Perry County, Missouri",29157,Rural,0.3175
"Schoharie County, New York",36095,Urban,0.3172
"Scotland County, Missouri",29199,Rural,0.3169
"Douglas County, South Dakota",46043,Rural,0.3166
"Caldwell County, Missouri",29025,Urban,0.3163
"Schuyler County, New York",36097,Rural,0.3159
"Dawes County, Nebraska",31045,Rural,0.3156
"Frontier County, Nebraska",31063,Rural,0.3153
"Clarion County, Pennsylvania",42031,Rural,0.3150
"Stark County, Ohio",39151,Urban,0.3147
"Morrill County, Nebraska",31123,Rural,0.3143
"Allegheny County, Pennsylvania",42003,Urban,0.3140
"Phillips County, Kansas",20147,Rural,0.3137
"Cimarron County, Oklahoma",40025,Rural,0.3134
"Ogle County, Illinois",17141,Rural,0.3131
"Covington City, Virginia",51580,Rural,0.3128
"Crawford County, Indiana",18025,Rural,0.3124
"Flagler County, Florida",12035,Urban,0.3121
"Koochiching County, Minnesota",27071,Rural,0.3118
"Bryan County, Georgia",13029,Urban,0.3115
"Stark County, North Dakota",38089,Rural,0.3112
"Blair County, Pennsylvania",42013,Urban,0.3108
"Steele County, Minnesota",27147,Rural,0.3105
"Alleghany County and Clifton Forge City, Virginia",51005,Rural,0.3102
"Cape Girardeau County, Missouri",29031,Urban,0.3099
"Ashland County, Ohio",39005,Rural,0.3096
"Clark County, Indiana",18019,Urban,0.3093
"Haralson County, Georgia",13143,Urban,0.3089
"Catoosa County, Georgia",13047,Urban,0.3086
"Roane County, Tennessee",47145,Urban,0.3083
"Kenton County, Kentucky",21117,Urban,0.3080
"Morton County, Kansas",20129,Rural,0.3077
"Livingston County, Missouri",29117,Rural,0.3073
"Virginia Beach City, Virginia",51810,Urban,0.3070
"Belmont County, Ohio",39013,Urban,0.3067
"Plymouth County, Massachusetts",25023,Urban,0.3064
"Edwards County, Illinois",17047,Rural,0.3058
"Wakulla County, Florida",12129,Urban,0.3058
"St. Louis County, Minnesota",27137,Urban,0.3054
"Pierce County, Georgia",13229,Rural,0.3051
"Alfalfa County, Oklahoma",40003,Rural,0.3048
"Henry County, Indiana",18065,Rural,0.3045
"Middlesex County, Virginia",51119,Rural,0.3042
"Clinton County, Ohio",39027,Rural,0.3038
"Kalkaska County, Michigan",26079,Urban,0.3035
"Island County, Washington",53029,Rural,0.3032
"Hamilton County, Illinois",17065,Rural,0.3029
"Sumter County, Florida",12119,Urban,0.3026
"Clackamas County, Oregon",41005,Urban,0.3023
"Pawnee County, Kansas",20145,Rural,0.3019
"Cherry County, Nebraska",31031,Rural,0.3016
"Hughes County, South Dakota",46065,Rural,0.3013
"Huron County, Ohio",39077,Rural,0.3010
"Brown County, Wisconsin",55009,Urban,0.3007
"Logan County, Oklahoma",40083,Urban,0.3003
"Somerset County, Maine",23025,Rural,0.3000
"Collin County, Texas",48085,Urban,0.2997
"Stonewall County, Texas",48433,Rural,0.2994
"McClain County, Oklahoma",40087,Urban,0.2991
"Rock County, Wisconsin",55105,Urban,0.2988
"Cameron Parish, Louisiana",22023,Urban,0.2984
"Lawrence County, Indiana",18093,Rural,0.2981
"Greenwood County, Kansas",20073,Rural,0.2978
"Tioga County, Pennsylvania",42117,Rural,0.2975
"Wilson County, Texas",48493,Urban,0.2972
"Hancock County, West Virginia",54029,Urban,0.2969
"Adams County, Illinois",17001,Rural,0.2965
"Irion County, Texas",48235,Urban,0.2962
"Norfolk County, Massachusetts",25021,Urban,0.2959
"Callahan County, Texas",48059,Urban,0.2956
"Cheyenne County, Kansas",20023,Rural,0.2953
"Chatham County, North Carolina",37037,Urban,0.2949
"Douglas County, Wisconsin",55031,Urban,0.2946
"Chesterfield County, Virginia",51041,Urban,0.2943
"Bay County, Michigan",26017,Urban,0.2940
"Custer County, South Dakota",46033,Urban,0.2937
"Jackson County, West Virginia",54035,Rural,0.2934
"Johnson County, Nebraska",31097,Rural,0.2927
"Sumner County, Tennessee",47165,Urban,0.2927
"Fountain County, Indiana",18045,Rural,0.2924
"Logan County, Illinois",17107,Rural,0.2921
"Goshen County, Wyoming",56015,Rural,0.2918
"St. Clair County, Michigan",26147,Urban,0.2914
"San Miguel County, Colorado",08113,Rural,0.2911
"Alger County, Michigan",26003,Rural,0.2908
"Crawford County, Wisconsin",55023,Rural,0.2905
"Waldo County, Maine",23027,Rural,0.2902
"San Mateo County, California",06081,Urban,0.2899
"Carbon County, Pennsylvania",42025,Urban,0.2895
"Shelby County, Kentucky",21211,Urban,0.2892
"Yellowstone County, Montana",30111,Urban,0.2889
"Sevier County, Utah",49041,Rural,0.2886
"Richardson County, Nebraska",31147,Rural,0.2883
"Kiowa County, Kansas",20097,Rural,0.2879
"Grant County, Kentucky",21081,Urban,0.2876
"Montgomery County, Virginia",51121,Urban,0.2873
"Bartholomew County, Indiana",18005,Urban,0.2870
"Martin County, Minnesota",27091,Rural,0.2867
"Saline County, Arkansas",05125,Urban,0.2864
"Cleveland County, Arkansas",05025,Rural,0.2860
"Cheyenne County, Nebraska",31033,Rural,0.2857
"Middlesex County, Massachusetts",25017,Urban,0.2854
"Effingham County, Georgia",13103,Urban,0.2851
"Washington County, Colorado",08121,Rural,0.2848
"Caledonia County, Vermont",50005,Rural,0.2844
"Tuscola County, Michigan",26157,Rural,0.2841
"Aitkin County, Minnesota",27001,Rural,0.2838
"Roger Mills County, Oklahoma",40129,Rural,0.2835
"Shelby County, Indiana",18145,Urban,0.2832
"Starke County, Indiana",18149,Rural,0.2829
"Latah County, Idaho",16057,Rural,0.2825
"Knox County, Ohio",39083,Rural,0.2822
"Snyder County, Pennsylvania",42109,Rural,0.2819
"Gray County, Kansas",20069,Rural,0.2816
"Columbia County, Pennsylvania",42037,Rural,0.2813
"Hubbard County, Minnesota",27057,Rural,0.2809
"Norman County, Minnesota",27107,Rural,0.2806
"Uinta County, Wyoming",56041,Rural,0.2803
"Logan County, Kansas",20109,Rural,0.2800
"Carroll County, Virginia",51035,Rural,0.2797
"Nicholas County, West Virginia",54067,Rural,0.2794
"Robertson County, Tennessee",47147,Urban,0.2790
"Newport County, Rhode Island",44005,Urban,0.2787
"Glasscock County, Texas",48173,Rural,0.2784
"Converse County, Wyoming",56009,Rural,0.2781
"Nassau County, New York",36059,Urban,0.2778
"Mason County, West Virginia",54053,Rural,0.2774
"Pike County, Illinois",17149,Rural,0.2771
"Divide County, North Dakota",38023,Rural,0.2768
"Graham County, Kansas",20065,Rural,0.2765
"Missoula County, Montana",30063,Urban,0.2762
"Otsego County, Michigan",26137,Rural,0.2759
"Herkimer County, New York",36043,Urban,0.2755
"Clayton County, Iowa",19043,Rural,0.2752
"Comal County, Texas",48091,Urban,0.2749
"Kootenai County, Idaho",16055,Urban,0.2746
"Coffey County, Kansas",20031,Rural,0.2743
"Cannon County, Tennessee",47015,Urban,0.2739
"Jefferson County, Nebraska",31095,Rural,0.2736
"Linn County, Kansas",20107,Urban,0.2733
"Wibaux County, Montana",30109,Rural,0.2730
"Mason County, Texas",48319,Rural,0.2724
"Chase County, Nebraska",31029,Rural,0.2720
"Knox County, Nebraska",31107,Rural,0.2717
"Harrison County, Kentucky",21097,Rural,0.2714
"Owen County, Kentucky",21187,Rural,0.2711
"Hampshire County, Massachusetts",25015,Urban,0.2708
"Berkeley County, West Virginia",54003,Urban,0.2704
"St. James Parish, Louisiana",22093,Urban,0.2701
"Otoe County, Nebraska",31131,Rural,0.2698
"Grant County, West Virginia",54023,Rural,0.2695
"Clay County, Missouri",29047,Urban,0.2692
"Greeley County, Kansas",20071,Rural,0.2689
"Charles City County, Virginia",51036,Urban,0.2685
"Ontario County, New York",36069,Urban,0.2682
"Knox County, Missouri",29103,Rural,0.2679
"Louisa County, Iowa",19115,Rural,0.2676
"Iroquois County, Illinois",17075,Rural,0.2673
"Brown County, South Dakota",46013,Rural,0.2669
"Pendleton County, West Virginia",54071,Rural,0.2666
"Autauga County, Alabama",01001,Urban,0.2663
"Morgan County, Georgia",13211,Urban,0.2660
"Archer County, Texas",48009,Urban,0.2657
"Spotsylvania County, Virginia",51177,Urban,0.2654
"Clark County, Missouri",29045,Rural,0.2650
"Boone County, Arkansas",05009,Rural,0.2647
"Richland County, Montana",30083,Rural,0.2644
"Sherman County, Nebraska",31163,Rural,0.2641
"Parker County, Texas",48367,Urban,0.2638
"Deschutes County, Oregon",41017,Urban,0.2634
"Lee County, Iowa",19111,Rural,0.2631
"Meade County, Kansas",20119,Rural,0.2628
"Doddridge County, West Virginia",54017,Rural,0.2625
"Sandusky County, Ohio",39143,Rural,0.2622
"Grafton County, New Hampshire",33009,Rural,0.2619
"Tucker County, West Virginia",54093,Rural,0.2615
"Kanabec County, Minnesota",27065,Rural,0.2612
"Ritchie County, West Virginia",54085,Rural,0.2609
"Lee County, Georgia",13177,Urban,0.2606
"Keith County, Nebraska",31101,Rural,0.2603
"Cheboygan County, Michigan",26031,Rural,0.2599
