County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Dollars),Rank within US
"Hocking County, Ohio",39073,Urban,59007.000000000,"1758 of 3142"
"Kit Carson County, Colorado",08063,Rural,58992.000000000,"1759 of 3142"
"Grant County, Oklahoma",40053,Rural,58980.000000000,"1760 of 3142"
"Dundy County, Nebraska",31057,Rural,58977.000000000,"1761 of 3142"
"Allen County, Ohio",39003,Urban,58976.000000000,"1762 of 3142"
"Clark County, Ohio",39023,Urban,58954.000000000,"1763 of 3142"
"Perry County, Indiana",18123,Rural,58936.000000000,"1764 of 3142"
"Scurry County, Texas",48415,Rural,58932.000000000,"1765 of 3142"
"Ford County, Illinois",17053,Urban,58930.000000000,"1766 of 3142"
"Mineral County, Colorado",08079,Rural,58929.000000000,"1767 of 3142"
"Greene County, Illinois",17061,Rural,58900.000000000,"1768 of 3142"
"Furnas County, Nebraska",31065,Rural,58895.000000000,"1769 of 3142"
"Pacific County, Washington",53049,Rural,58889.000000000,"1770 of 3142"
"Deuel County, Nebraska",31049,Rural,58875.000000000,"1771 of 3142"
"Logan County, Kentucky",21141,Rural,58869.000000000,"1772 of 3142"
"Wichita County, Texas",48485,Urban,58862.000000000,"1773 of 3142"
"Jack County, Texas",48237,Rural,58861.000000000,"1774 of 3142"
"Harrison County, Kentucky",21097,Rural,58840.000000000,"1775 of 3142"
"Vanderburgh County, Indiana",18163,Urban,58839.000000000,"1776 of 3142"
"Boundary County, Idaho",16021,Rural,58810.000000000,"1777 of 3142"
"Livingston County, Missouri",29117,Rural,58772.000000000,"1778 of 3142"
"Hamilton County, Kansas",20075,Rural,58750.000000000,"1779 of 3142"
"Judith Basin County, Montana",30045,Rural,58750.000000000,"1779 of 3142"
"Osborne County, Kansas",20141,Rural,58750.000000000,"1779 of 3142"
"Wibaux County, Montana",30109,Rural,58750.000000000,"1779 of 3142"
"Crawford County, Pennsylvania",42039,Rural,58734.000000000,"1783 of 3142"
"Allegany County, New York",36003,Rural,58725.000000000,"1784 of 3142"
"Pendleton County, Kentucky",21191,Urban,58723.000000000,"1785 of 3142"
"Hinsdale County, Colorado",08053,Rural,58712.000000000,"1786 of 3142"
"Arkansas County, Arkansas",05001,Rural,58695.000000000,"1787 of 3142"
"Clarion County, Pennsylvania",42031,Rural,58690.000000000,"1788 of 3142"
"Custer County, Oklahoma",40039,Rural,58669.000000000,"1789 of 3142"
"Montgomery County, Missouri",29139,Rural,58660.000000000,"1790 of 3142"
"Scotland County, Missouri",29199,Rural,58656.000000000,"1791 of 3142"
"Wexford County, Michigan",26165,Rural,58652.000000000,"1792 of 3142"
"Gallatin County, Kentucky",21077,Urban,58641.000000000,"1793 of 3142"
"Little River County, Arkansas",05081,Urban,58627.000000000,"1794 of 3142"
"Benton County, Indiana",18007,Urban,58620.000000000,"1795 of 3142"
"Bond County, Illinois",17005,Urban,58617.000000000,"1796 of 3142"
