
	Screening and Risk Factors Report for United States by County
(2017-2019 County Level Modeled Estimates Combining BRFSS & NHIS)

Had Colonoscopy in Past 10 Years
"All Races (includes Hispanic), Both Sexes, Ages 50-75"

Sorted by Percent

County,FIPS,"Model-Based Percent(3)","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Steele County, North Dakota",38091,69.6 ,56.0, 82.5
"Tolland County, Connecticut",09013,69.6 ,59.6, 79.7
"Berkeley County, South Carolina",45015,69.5 ,59.6, 79.3
"Cook County, Minnesota",27031,69.5 ,56.2, 81.8
"Gulf County, Florida",12045,69.5 ,57.9, 80.7
"Henderson County, North Carolina",37089,69.5 ,56.8, 81.2
"Hernando County, Florida",12053,69.5 ,59.0, 79.7
"Morris County, New Jersey",34027,69.5 ,59.2, 79.2
"Radford City, Virginia",51750,69.5 ,54.5, 83.2
"Smith County, Tennessee",47159,69.5 ,54.5, 83.1
"Switzerland County, Indiana",18155,69.5 ,56.3, 81.8
"Adams County, Illinois",17001,69.4 ,59.6, 78.7
"Atchison County, Missouri",29005,69.4 ,56.0, 81.6
"Cavalier County, North Dakota",38019,69.4 ,57.0, 81.1
"Dickinson County, Iowa",19059,69.4 ,56.9, 81.2
"Franklin County, Kentucky",21073,69.4 ,56.5, 81.3
"Montour County, Pennsylvania",42093,69.4 ,54.5, 83.1
"Navarro County, Texas",48349,69.4 ,57.3, 80.9
"Rock County, Nebraska",31149,69.4 ,56.4, 81.5
"Belknap County, New Hampshire",33001,69.3 ,59.0, 79.5
"Burnett County, Wisconsin",55013,69.3 ,54.2, 83.1
"Dane County, Wisconsin",55025,69.3 ,59.3, 79.1
"Pepin County, Wisconsin",55091,69.3 ,54.2, 83.1
"Putnam County, West Virginia",54079,69.3 ,58.0, 80.1
"Stearns County, Minnesota",27145,69.3 ,59.4, 79.3
"Carroll County, Iowa",19027,69.2 ,56.6, 81.2
"Denali, Alaska",02068,69.2 ,55.2, 82.2
"Greenup County, Kentucky",21089,69.2 ,57.4, 80.5
"Kerr County, Texas",48265,69.2 ,55.5, 81.9
"La Plata County, Colorado",08067,69.2 ,57.3, 80.6
"Lincoln County, Colorado",08073,69.2 ,54.6, 82.8
"McCracken County, Kentucky",21145,69.2 ,60.5, 77.5
"Philadelphia County, Pennsylvania",42101,69.2 ,61.6, 76.7
"Portsmouth City, Virginia",51740,69.2 ,60.2, 78.1
"Union County, Indiana",18161,69.2 ,54.4, 82.7
"Vilas County, Wisconsin",55125,69.2 ,56.5, 81.1
"Calloway County, Kentucky",21035,69.1 ,56.6, 80.8
"Daviess County, Kentucky",21059,69.1 ,57.6, 80.1
"Durham County, North Carolina",37063,69.1 ,58.6, 79.0
"Early County, Georgia",13099,69.1 ,56.7, 80.8
"Edwards County, Illinois",17047,69.1 ,54.0, 82.9
"Gaston County, North Carolina",37071,69.1 ,58.9, 78.8
"Lampasas County, Texas",48281,69.1 ,55.0, 82.0
"Los Alamos County, New Mexico",35028,69.1 ,56.8, 80.7
"Mercer County, New Jersey",34021,69.1 ,58.9, 79.0
"Steele County, Minnesota",27147,69.1 ,57.5, 80.1
"Waushara County, Wisconsin",55137,69.1 ,56.5, 80.8
"Aitkin County, Minnesota",27001,69.0 ,56.9, 80.3
"Chase County, Kansas",20017,69.0 ,55.3, 81.7
"Henry County, Kentucky",21103,69.0 ,53.8, 82.9
"McLean County, North Dakota",38055,69.0 ,57.9, 79.7
"Oneida County, New York",36065,69.0 ,59.1, 79.0
"Page County, Iowa",19145,69.0 ,57.4, 80.0
"Williams County, Ohio",39171,69.0 ,56.0, 81.1
"Calvert County, Maryland",24009,68.9 ,58.5, 79.2
"Emery County, Utah",49015,68.9 ,56.7, 80.3
"Forsyth County, North Carolina",37067,68.9 ,58.8, 78.5
"Grant County, Minnesota",27051,68.9 ,55.6, 81.3
"Henrico County, Virginia",51087,68.9 ,61.4, 76.2
"Johnson County, Indiana",18081,68.9 ,59.6, 77.7
"New York County, New York",36061,68.9 ,61.6, 76.1
"Towns County, Georgia",13281,68.9 ,55.2, 81.7
"Washington County, Vermont",50023,68.9 ,67.5, 70.3
"Androscoggin County, Maine",23001,68.8 ,59.0, 78.6
"Arthur County, Nebraska",31005,68.8 ,53.3, 82.8
"Centre County, Pennsylvania",42027,68.8 ,56.8, 80.5
"Cottonwood County, Minnesota",27033,68.8 ,55.5, 81.3
"Emmons County, North Dakota",38029,68.8 ,55.9, 80.9
"Jefferson County, Idaho",16051,68.8 ,56.5, 80.3
"Licking County, Ohio",39089,68.8 ,57.8, 79.3
"Litchfield County, Connecticut",09005,68.8 ,58.8, 78.9
"Madison County, Tennessee",47113,68.8 ,58.5, 78.8
"Sherburne County, Minnesota",27141,68.8 ,57.8, 79.5
"Bennington County, Vermont",50003,68.7 ,58.7, 78.7
"Boone County, Iowa",19015,68.7 ,56.9, 80.2
"Davis County, Utah",49011,68.7 ,60.0, 77.3
"Douglas County, Nebraska",31055,68.7 ,60.8, 76.5
"Forrest County, Mississippi",28035,68.7 ,57.6, 79.3
"Frederick County, Maryland",24021,68.7 ,59.2, 78.3
"Greenwood County, Kansas",20073,68.7 ,56.0, 81.0
"Jasper County, Iowa",19099,68.7 ,57.4, 79.7
"Johnston County, North Carolina",37101,68.7 ,57.2, 79.3
"Kershaw County, South Carolina",45055,68.7 ,56.3, 80.3
"Latah County, Idaho",16057,68.7 ,57.9, 79.5
"Leon County, Florida",12073,68.7 ,58.5, 78.5
"Macon County, Illinois",17115,68.7 ,55.5, 81.0
"Morgan County, Utah",49029,68.7 ,55.6, 81.1
"Nantucket County, Massachusetts",25019,68.7 ,54.0, 81.9
"Niagara County, New York",36063,68.7 ,59.6, 77.6
